product_id,name,brand,category,subcategory,price,discount_percent,final_price,rating,stock,status,attributes,tags
P001,Dell Inspiron,Dell,Laptop,Business Laptop,65000,10,58500,4.3,50,Active,"ram=16GB;storage=512GB;cpu=i7","programming,office"
P002,HP Victus,HP,Laptop,Gaming Laptop,78000,5,74100,4.5,40,Active,"ram=16GB;storage=512GB;gpu=RTX4050","gaming,programming"
P003,Lenovo LOQ,Lenovo,Laptop,Gaming Laptop,76000,8,69920,4.6,35,Active,"ram=16GB;storage=512GB;gpu=RTX4050","gaming,programming"
P004,ASUS TUF,Asus,Laptop,Gaming Laptop,79000,10,71100,4.7,25,Active,"ram=16GB;storage=512GB;gpu=RTX4060","gaming,programming"
P005,MacBook Air,Apple,Laptop,Ultrabook,95000,5,90250,4.8,30,Active,"ram=8GB;storage=256GB;chip=M3","programming,business"
M001,Samsung Galaxy S24,Samsung,Mobile,Smartphone,74999,5,71249,4.8,120,Active,"ram=8GB;storage=256GB;battery=5000mAh","camera,flagship,gaming,5g"
M002,Samsung Galaxy A55,Samsung,Mobile,Smartphone,39999,10,35999,4.5,90,Active,"ram=8GB;storage=128GB;battery=5000mAh","camera,5g"
M003,iPhone 15,Apple,Mobile,Smartphone,69999,5,66499,4.8,75,Active,"ram=6GB;storage=128GB;chip=A16","camera,flagship"
M004,OnePlus 13,OnePlus,Mobile,Smartphone,64999,8,59799,4.7,80,Active,"ram=12GB;storage=256GB;battery=6000mAh","gaming,flagship,5g"
T001,Samsung Crystal 55,Samsung,TV,Smart TV,52999,15,45049,4.6,35,Active,"screen=55inch;resolution=4K;display=LED","smarttv,4k"
T002,LG OLED C4 55,LG,TV,OLED TV,129999,10,116999,4.9,15,Active,"screen=55inch;resolution=4K;display=OLED","oled,smarttv,premium"
T003,Sony Bravia 65,Sony,TV,Smart TV,139999,12,123199,4.9,10,Active,"screen=65inch;resolution=4K","smarttv,premium"
T004,Xiaomi Smart TV X 43,Xiaomi,TV,Smart TV,27999,10,25199,4.3,50,Active,"screen=43inch;resolution=4K","smarttv,budget"
TY001,LEGO City Police Station,LEGO,Toy,Educational Toy,4999,10,4499,4.8,60,Active,"age=6+;pieces=650","kids,building,educational"
TY002,Hot Wheels Track Set,Mattel,Toy,Vehicle Toy,2499,5,2374,4.5,120,Active,"age=5+","kids,racing,cars"
TY003,Rubiks Cube,GAN,Toy,Puzzle Toy,899,0,899,4.6,250,Active,"age=8+","puzzle,educational"
TY004,Drone for Kids,SkyFly,Toy,Technology Toy,4999,15,4249,4.2,40,Active,"age=10+","drone,technology"
GC001,Amazon Gift Card,Amazon,GiftCard,Digital Gift Card,500,0,500,4.9,9999,Active,"validity=365days","gift,voucher"
GC002,Amazon Gift Card,Amazon,GiftCard,Digital Gift Card,1000,0,1000,4.9,9999,Active,"validity=365days","gift,voucher"
GC003,Steam Gift Card,Steam,GiftCard,Gaming Gift Card,2000,0,2000,4.9,9999,Active,"validity=365days","gaming,gift"
GC004,Myntra Gift Card,Myntra,GiftCard,Fashion Gift Card,1000,0,1000,4.7,9999,Active,"validity=365days","fashion,gift"
E001,Sony WH-1000XM5,Sony,Electronics,Headphones,29999,25,22499,4.8,25,Active,"wireless=true;noise_cancellation=true","headphones,premium"
E002,Apple AirPods Pro,Apple,Electronics,Earbuds,24999,15,21249,4.8,40,Active,"wireless=true;anc=true","earbuds,premium"
E003,JBL Flip Speaker,JBL,Electronics,Speaker,9999,20,7999,4.6,75,Active,"wireless=true;battery=12hr","speaker,music"
E004,Kindle Paperwhite,Amazon,Electronics,E-Reader,14999,10,13499,4.7,35,Active,"screen=6.8inch","reading,books"
W001,Samsung Galaxy Watch 7,Samsung,Wearable,Smart Watch,34999,20,27999,4.6,45,Active,"display=AMOLED;battery=40hr","smartwatch,fitness"
W002,Boat Smart Ring,Boat,Wearable,Smart Ring,8999,35,5849,4.2,70,Active,"health_tracking=true","wearable,fitness"
F001,Nike Running Shoes,Nike,Fashion,Shoes,6999,30,4899,4.5,200,Active,"size=8;color=Black","sports,running"
F002,Adidas Backpack,Adidas,Fashion,Bag,3999,40,2399,4.4,150,Active,"capacity=30L","travel,student"
G001,Philips Trimmer,Philips,Grooming,Trimmer,2499,20,1999,4.3,120,Active,"runtime=90min","grooming,mens"
K001,Prestige Pressure Cooker,Prestige,Kitchen,Cookware,3999,25,2999,4.5,100,Active,"capacity=5L","kitchen,cooking"
B001,Python for Beginners,TechBooks,Book,Programming Book,799,10,719,4.7,500,Active,"pages=450","python,programming"
B002,System Design Interview Guide,TechBooks,Book,Technology Book,999,15,849,4.8,350,Active,"pages=600","architecture,systemdesign"